"datum_uhrzeit";"startort";"zielort";"fahrtzeit_minuten"
2025-04-01 07:00:01.68726;"Leonding";"Linz Hauptbahnhof";10.65
2025-04-01 07:00:02.501135;"Leonding";"Industriezeile, Linz";16.15
2025-04-01 07:00:02.793026;"Leonding";"Johannes-Kepler-Universität Linz";20.0166666666667
2025-04-01 07:00:03.068381;"Gallneukirchen";"Linz Hauptbahnhof";33.6333333333333
2025-04-01 07:00:03.299614;"Gallneukirchen";"Industriezeile, Linz";23.7
2025-04-01 07:00:03.48841;"Gallneukirchen";"Johannes-Kepler-Universität Linz";14.9333333333333
2025-04-01 07:00:03.674327;"Ansfelden";"Linz Hauptbahnhof";19.95
2025-04-01 07:00:03.947296;"Ansfelden";"Industriezeile, Linz";21
2025-04-01 07:00:04.137504;"Ansfelden";"Johannes-Kepler-Universität Linz";25.4333333333333
2025-04-01 07:00:04.3463;"Pregarten";"Linz Hauptbahnhof";44.5166666666667
2025-04-01 07:00:04.581984;"Pregarten";"Industriezeile, Linz";34.4833333333333
2025-04-01 07:00:04.785214;"Pregarten";"Johannes-Kepler-Universität Linz";24.5166666666667
2025-04-01 07:00:04.974113;"Enns";"Linz Hauptbahnhof";30.35
2025-04-01 07:00:05.232939;"Enns";"Industriezeile, Linz";30.4333333333333
2025-04-01 07:00:05.482503;"Enns";"Johannes-Kepler-Universität Linz";34.9666666666667
2025-04-01 07:00:05.677297;"Steyregg";"Linz Hauptbahnhof";21.6
2025-04-01 07:00:05.890732;"Steyregg";"Industriezeile, Linz";17.8166666666667
2025-04-01 07:00:06.080661;"Steyregg";"Johannes-Kepler-Universität Linz";13.7
2025-04-01 07:00:06.322907;"Ottensheim";"Linz Hauptbahnhof";29.3666666666667
2025-04-01 07:00:06.53918;"Ottensheim";"Industriezeile, Linz";28.3
2025-04-01 07:00:06.725909;"Ottensheim";"Johannes-Kepler-Universität Linz";25.65
2025-04-01 07:00:06.903461;"Bad Leonfelden";"Linz Hauptbahnhof";48.3833333333333
2025-04-01 07:00:07.150819;"Bad Leonfelden";"Industriezeile, Linz";38.3333333333333
2025-04-01 07:00:07.35413;"Bad Leonfelden";"Johannes-Kepler-Universität Linz";32.9666666666667
2025-04-01 07:00:07.55003;"Wilhering";"Linz Hauptbahnhof";16.1166666666667
2025-04-01 07:00:07.768594;"Wilhering";"Industriezeile, Linz";22.9
2025-04-01 07:00:07.970661;"Wilhering";"Johannes-Kepler-Universität Linz";25.7666666666667
