"datum_uhrzeit";"startort";"zielort";"fahrtzeit_minuten"
2025-04-02 11:53:01.490704;"Leonding";"Linz Hauptbahnhof";10.05
2025-04-02 11:53:01.925327;"Leonding";"Industriezeile, Linz";14.8666666666667
2025-04-02 11:53:02.118939;"Leonding";"Johannes-Kepler-Universität Linz";19.6333333333333
2025-04-02 11:53:02.295928;"Gallneukirchen";"Linz Hauptbahnhof";20.5833333333333
2025-04-02 11:53:02.483356;"Gallneukirchen";"Industriezeile, Linz";15.45
2025-04-02 11:53:02.653183;"Gallneukirchen";"Johannes-Kepler-Universität Linz";12.2666666666667
2025-04-02 11:53:02.79788;"Ansfelden";"Linz Hauptbahnhof";13.5833333333333
2025-04-02 11:53:02.975833;"Ansfelden";"Industriezeile, Linz";15.25
2025-04-02 11:53:03.0624;"Ansfelden";"Johannes-Kepler-Universität Linz";20.25
2025-04-02 11:53:03.216398;"Pregarten";"Linz Hauptbahnhof";27.3333333333333
2025-04-02 11:53:03.385605;"Pregarten";"Industriezeile, Linz";21.9666666666667
2025-04-02 11:53:03.536533;"Pregarten";"Johannes-Kepler-Universität Linz";18.9
2025-04-02 11:53:03.672206;"Enns";"Linz Hauptbahnhof";20.2333333333333
2025-04-02 11:53:03.81194;"Enns";"Industriezeile, Linz";21.9166666666667
2025-04-02 11:53:03.902239;"Enns";"Johannes-Kepler-Universität Linz";26.7
2025-04-02 11:53:04.040624;"Steyregg";"Linz Hauptbahnhof";16.0333333333333
2025-04-02 11:53:04.166387;"Steyregg";"Industriezeile, Linz";13.0666666666667
2025-04-02 11:53:04.264969;"Steyregg";"Johannes-Kepler-Universität Linz";15.2
2025-04-02 11:53:04.36703;"Ottensheim";"Linz Hauptbahnhof";19.7166666666667
2025-04-02 11:53:04.501077;"Ottensheim";"Industriezeile, Linz";20.0666666666667
2025-04-02 11:53:04.648099;"Ottensheim";"Johannes-Kepler-Universität Linz";21.9833333333333
2025-04-02 11:53:04.748663;"Bad Leonfelden";"Linz Hauptbahnhof";38.5
2025-04-02 11:53:04.888832;"Bad Leonfelden";"Industriezeile, Linz";33.3833333333333
2025-04-02 11:53:05.034824;"Bad Leonfelden";"Johannes-Kepler-Universität Linz";31.9333333333333
2025-04-02 11:53:05.176075;"Wilhering";"Linz Hauptbahnhof";15.9833333333333
2025-04-02 11:53:05.290785;"Wilhering";"Industriezeile, Linz";18.2
2025-04-02 11:53:05.416951;"Wilhering";"Johannes-Kepler-Universität Linz";20.9
