"datum_uhrzeit";"richtung";"startort";"zielort";"fahrtzeit_minuten";"b127";"b129"
2025-04-02 15:17:35.840236;"Hin";"Leonding";"Linz Hauptbahnhof";10.0333333333333;FALSE;FALSE
2025-04-02 15:17:35.840918;"Retour";"Linz Hauptbahnhof";"Leonding";9.95;FALSE;FALSE
2025-04-02 15:17:36.78481;"Hin";"Leonding";"Industriezeile, Linz";16.0666666666667;FALSE;FALSE
2025-04-02 15:17:36.785447;"Retour";"Industriezeile, Linz";"Leonding";18.1166666666667;FALSE;FALSE
2025-04-02 15:17:37.721428;"Hin";"Leonding";"Johannes-Kepler-Universität Linz";20.75;FALSE;FALSE
2025-04-02 15:17:37.72207;"Retour";"Johannes-Kepler-Universität Linz";"Leonding";23.4833333333333;FALSE;TRUE
2025-04-02 15:17:38.678193;"Hin";"Gallneukirchen";"Linz Hauptbahnhof";23.4833333333333;FALSE;FALSE
2025-04-02 15:17:38.67884;"Retour";"Linz Hauptbahnhof";"Gallneukirchen";22.2;FALSE;FALSE
2025-04-02 15:17:39.902901;"Hin";"Gallneukirchen";"Industriezeile, Linz";15.7166666666667;FALSE;FALSE
2025-04-02 15:17:39.90353;"Retour";"Industriezeile, Linz";"Gallneukirchen";14.8333333333333;FALSE;FALSE
2025-04-02 15:17:40.821954;"Hin";"Gallneukirchen";"Johannes-Kepler-Universität Linz";12.65;FALSE;FALSE
2025-04-02 15:17:40.82258;"Retour";"Johannes-Kepler-Universität Linz";"Gallneukirchen";13.6333333333333;FALSE;FALSE
2025-04-02 15:17:41.741332;"Hin";"Ansfelden";"Linz Hauptbahnhof";13.65;FALSE;FALSE
2025-04-02 15:17:41.74242;"Retour";"Linz Hauptbahnhof";"Ansfelden";15.5666666666667;FALSE;FALSE
2025-04-02 15:17:42.673964;"Hin";"Ansfelden";"Industriezeile, Linz";16.5;FALSE;FALSE
2025-04-02 15:17:42.674581;"Retour";"Industriezeile, Linz";"Ansfelden";19.7666666666667;FALSE;FALSE
2025-04-02 15:17:43.655308;"Hin";"Ansfelden";"Johannes-Kepler-Universität Linz";21.3;FALSE;FALSE
2025-04-02 15:17:43.656352;"Retour";"Johannes-Kepler-Universität Linz";"Ansfelden";27.4666666666667;FALSE;FALSE
2025-04-02 15:17:44.664207;"Hin";"Pregarten";"Linz Hauptbahnhof";29.7833333333333;FALSE;FALSE
2025-04-02 15:17:44.664944;"Retour";"Linz Hauptbahnhof";"Pregarten";27.7333333333333;FALSE;FALSE
2025-04-02 15:17:45.554709;"Hin";"Pregarten";"Industriezeile, Linz";21.8166666666667;FALSE;FALSE
2025-04-02 15:17:45.555946;"Retour";"Industriezeile, Linz";"Pregarten";20.3833333333333;FALSE;FALSE
2025-04-02 15:17:46.48005;"Hin";"Pregarten";"Johannes-Kepler-Universität Linz";18.7666666666667;FALSE;FALSE
2025-04-02 15:17:46.480671;"Retour";"Johannes-Kepler-Universität Linz";"Pregarten";19.35;FALSE;FALSE
2025-04-02 15:17:47.348497;"Hin";"Enns";"Linz Hauptbahnhof";20.4166666666667;FALSE;FALSE
2025-04-02 15:17:47.349113;"Retour";"Linz Hauptbahnhof";"Enns";22.45;FALSE;FALSE
2025-04-02 15:17:48.263423;"Hin";"Enns";"Industriezeile, Linz";23.2666666666667;FALSE;FALSE
2025-04-02 15:17:48.264027;"Retour";"Industriezeile, Linz";"Enns";26.7333333333333;FALSE;FALSE
2025-04-02 15:17:49.754522;"Hin";"Enns";"Johannes-Kepler-Universität Linz";28.2833333333333;FALSE;FALSE
2025-04-02 15:17:49.755174;"Retour";"Johannes-Kepler-Universität Linz";"Enns";34.6333333333333;FALSE;FALSE
2025-04-02 15:17:50.672119;"Hin";"Steyregg";"Linz Hauptbahnhof";15.2666666666667;FALSE;FALSE
2025-04-02 15:17:50.672759;"Retour";"Linz Hauptbahnhof";"Steyregg";14.4166666666667;FALSE;FALSE
2025-04-02 15:17:51.592874;"Hin";"Steyregg";"Industriezeile, Linz";13.0166666666667;FALSE;FALSE
2025-04-02 15:17:51.593542;"Retour";"Industriezeile, Linz";"Steyregg";15.7;FALSE;FALSE
2025-04-02 15:17:52.516412;"Hin";"Steyregg";"Johannes-Kepler-Universität Linz";14.1333333333333;FALSE;FALSE
2025-04-02 15:17:52.517513;"Retour";"Johannes-Kepler-Universität Linz";"Steyregg";14.2166666666667;FALSE;FALSE
2025-04-02 15:17:53.472857;"Hin";"Ottensheim";"Linz Hauptbahnhof";20.1;TRUE;TRUE
2025-04-02 15:17:53.473483;"Retour";"Linz Hauptbahnhof";"Ottensheim";20.4166666666667;TRUE;TRUE
2025-04-02 15:17:54.291283;"Hin";"Ottensheim";"Industriezeile, Linz";20.6333333333333;TRUE;TRUE
2025-04-02 15:17:54.292528;"Retour";"Industriezeile, Linz";"Ottensheim";24.1166666666667;TRUE;TRUE
2025-04-02 15:17:55.406176;"Hin";"Ottensheim";"Johannes-Kepler-Universität Linz";22.6666666666667;TRUE;FALSE
2025-04-02 15:17:55.407285;"Retour";"Johannes-Kepler-Universität Linz";"Ottensheim";22.9166666666667;TRUE;FALSE
2025-04-02 15:17:56.534921;"Hin";"Bad Leonfelden";"Linz Hauptbahnhof";42.9666666666667;TRUE;TRUE
2025-04-02 15:17:56.536404;"Retour";"Linz Hauptbahnhof";"Bad Leonfelden";40.9;TRUE;FALSE
2025-04-02 15:17:57.531242;"Hin";"Bad Leonfelden";"Industriezeile, Linz";33.6333333333333;FALSE;FALSE
2025-04-02 15:17:57.532609;"Retour";"Industriezeile, Linz";"Bad Leonfelden";33.8166666666667;TRUE;FALSE
2025-04-02 15:17:58.535533;"Hin";"Bad Leonfelden";"Johannes-Kepler-Universität Linz";31.6833333333333;FALSE;FALSE
2025-04-02 15:17:58.536696;"Retour";"Johannes-Kepler-Universität Linz";"Bad Leonfelden";32.8666666666667;FALSE;FALSE
2025-04-02 15:17:59.576782;"Hin";"Wilhering";"Linz Hauptbahnhof";15.75;FALSE;TRUE
2025-04-02 15:17:59.577433;"Retour";"Linz Hauptbahnhof";"Wilhering";15.4333333333333;FALSE;TRUE
2025-04-02 15:18:00.406748;"Hin";"Wilhering";"Industriezeile, Linz";18.1666666666667;FALSE;TRUE
2025-04-02 15:18:00.407367;"Retour";"Industriezeile, Linz";"Wilhering";20.1833333333333;FALSE;TRUE
2025-04-02 15:18:01.441127;"Hin";"Wilhering";"Johannes-Kepler-Universität Linz";21.5;FALSE;TRUE
2025-04-02 15:18:01.442445;"Retour";"Johannes-Kepler-Universität Linz";"Wilhering";21.9;FALSE;TRUE
